nx,nodes,elements,unknowns,nnz,assembly_s,solve_s,total_s,relResidual,maxError,L2relativeError
50,2601,5000,2401,16417,0.3870955269994738,0.012095455000235233,0.4149612800001705,7.783894068061701e-14,0.00032888279977538737,0.00033448084003183593
100,10201,20000,9801,67817,1.5590412179999475,0.08923805700032972,2.015566041999591,3.297999757111297e-13,8.224020202973747e-05,8.364218076184513e-05
200,40401,80000,39601,275617,6.50324595300026,0.6584591549999459,7.898379357000522,1.3470652407035266e-12,2.056126952809656e-05,2.0911918121145672e-05
